a,pole magnitude (tau=3ms),pole magnitude (tau=5ms),pole magnitude (tau=10ms)
0.7989949748743719,0.987719455467998,0.9877595160638403,0.9879263244990152
0.8052763819095479,0.9877260941309174,0.9877706838540665,0.9879068467583715
0.8115577889447236,0.9877334050838393,0.9877829597639965,0.9880131158978934
0.8178391959798996,0.9877414659394359,0.9877964637791499,0.9881115387773798
0.8241206030150754,0.9877503637093168,0.9878113330720183,0.9880543920456204
0.8304020100502514,0.9877601958294354,0.9878277141464314,0.988328929102677
0.8366834170854272,0.9877710711611178,0.9878457686566734,0.9881527206387859
0.8429648241206031,0.987783110667844,0.9878656807923989,0.9885184382964814
0.8492462311557789,0.9877964482437942,0.9878876448190249,0.9882993465567286
0.8555276381909549,0.987811230602456,0.9879118664899057,0.9884425367747505
0.8618090452261307,0.987827617058263,0.987938555978975,0.9882421150201028
